date,symbol,name,address,price_usd,volume_24h_usd,liquidity_usd,fdv_usd,source,data_status,missing_streak,whale_transfers_24h,large_buys,large_sells,net_whale_flow_usd,top_10_holders_pct,holder_concentration
2025-10-02,Streamless,Streamless coin,C8Hyu6bjPtuaTJ4Fj6V6L99rhUkkCuKByNZTyXiCpump,5.858e-06,19.34,10152.23,5838.0,dexscreener,ok,0,,,,,,
2025-10-02,PILL,Getpilled,2JaJ353mgRVrGbrxsvHr17hseGtf1kD4ixErXGcNP1LL,6.992e-06,12.82,10804.01,6442.0,dexscreener,ok,0,,,,,,
2025-10-02,NeverDie,MEMES WILL NEVER DIE,2Jz5Wf6PGs4x1dJH4FvfMcgEERTmPadLBDsFmtyCpump,4.046e-06,8.22,7945.7,4044.0,dexscreener,ok,0,,,,,,
2025-10-02,KENNY,KENNY KO,AkhHVVk58FmoS8h1fDWzHMZ9YrnqHcZi97mFzhjbpump,4.437e-06,6.7,8389.54,4437.0,dexscreener,ok,0,,,,,,
2025-10-02,Supershiro,Super Shiro,B1PrDviUajpkxghL1v2w2P8jnxu3FNjcxUDdBNanPLyR,4.377e-06,5.79,8265.62,4377.0,dexscreener,ok,0,,,,,,
2025-10-02,MOONCOIN,MOON COIN,4h49bD28nPPLXWB1ZmP8JPuv4iKk3KzFpS8bSmGJpump,4.123e-06,5.57,8005.21,4123.0,dexscreener,ok,0,,,,,,
2025-10-02,retail,retail,6jPg6gSrwtJyHWGTs7tUh2Zs1GzfKzHQNUGfAK1xpump,4.294e-06,5.48,8341.17,4291.0,dexscreener,ok,0,,,,,,
2025-10-02,GAZABOY,GAZA BOY,Fk6e19okXWGxtrHmXBLzkFeDPR2uuyeVYsqGyt89pump,4.533e-06,5.3,8495.11,4530.0,dexscreener,ok,0,,,,,,
2025-10-02,ELIZABETH,Just Elizabeth Cat,DiiTPZdpd9t3XorHiuZUu4E1FoSaQ7uGN4q9YkQupump,0.001982,4.47,46.69,1540388.0,dexscreener,ok,0,,,,,,
2025-10-02,obvious,in hindsight,EzcwA7anSrdoH1TMKjbBTd91GD7KwMco9kFZh1AApump,5.259e-06,3.91,9058.29,5257.0,dexscreener,ok,0,,,,,,
