date,address,symbol,signal,score,vol_mom_3v1,vol_mom_5v3,zscore_vol_10d,zscore_liq_10d,vol_3d,liq_3d,presence_7d,presence_30d,current_streak_days,name,top_10_holders_pct,top_5_holders_pct,holder_concentration,concentration_risk
2025-10-02,8erRtd8mLgNcNoWy2bhMdTgZyXaRR6u7t2hyXRc1pump,1dog,Watch,1.0,1.95,1.0,1.0,1.0,20229.28,16043.085,0,0,0,1 dog can change your life,,0.0,,unknown
2025-10-02,VnqKnEybGaw6G5ZAdjvPDri5RzDLPXznqxBunG13GJE,YAO,Watch,1.0,1.0,1.0,1.0,1.0,8511.69,31479.55,0,0,0,YAO MING,,0.0,,unknown
2025-10-02,9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,SOL,Watch,1.0,2.25,1.0,-1.0,1.0,5130.29,18355.39,0,0,0,Solana,,0.0,,unknown
2025-10-02,99YFbXS6iA7s1qkRDTMBXEywtLNmrRtHtGKvNxpKWcdT,MOON,Watch,1.0,1.97,1.0,1.0,1.0,3079.75,13377.83,0,0,0,Moon Moon,,0.0,,unknown
2025-10-02,FyrBf5xKg5EwKZ9pHvSpJeLLuCWBicTpm3VvZcsibonk,FARTLESS,Watch,1.0,2.39,1.0,-1.0,1.0,3287.2,3979.78,0,0,0,FARTLESS COIN,,0.0,,unknown
2025-10-02,7N8qk43L1PCcaqudkEasGpKqcunX1ChXYo2VB1g8bonk,RWA,Watch,1.0,1.61,1.0,1.0,1.0,1530.56,9380.235,0,0,0,Real World Asses,,0.0,,unknown
2025-10-02,iD9FqgeKmp58a4pTvh45MtKkHkudKNptFRdR8m6pump,MINDWORMS,Watch,1.0,1.54,1.0,1.0,-1.0,569.25,8668.130000000001,0,0,0,mindworms,,0.0,,unknown
2025-10-02,CAamcXXVWM8b8DcpcT2rpEwwfNfBD2MXjHjCwRDBpump,7,Watch,1.0,1.72,1.0,1.0,1.0,244.97,12599.46,0,0,0,7 Coin,,0.0,,unknown
2025-10-02,9NcUwy9JVekfsY4UA62ZaTprn4TDnJZwp5B6vMAAtkzt,FLY,Watch,1.0,1.95,1.0,1.0,1.0,153.94,141.215,0,0,0,Nexa,,0.0,,unknown
2025-10-02,FwYBWjDBDqqfLQYewPZm1Vv555ireHpgUyJP4rMYpump,HAMSTERUN,Watch,1.0,1.95,1.0,1.0,-1.0,121.19,8572.119999999999,0,0,0,Hamster Runner,,0.0,,unknown
2025-10-02,GCU5AT6U8bKYK76KBssLf5a3a3KoNoMGStaVdfeipump,Mementoe,Watch,1.0,1.16,1.0,1.0,-1.0,67.3,8382.619999999999,0,0,0,Mementoe,,0.0,,unknown
2025-10-02,DKffyw1oEVWR3ik7q7tb2shhmZ3jbTkRzT6R5banCxai,AI20X,Watch,1.0,2.25,1.0,-1.0,1.0,92.23,2888617.855,0,0,0,Ai20x.ai,,0.0,,unknown
2025-10-02,6NVo6X8ouYRVoKRWe7Y9J6CT4pWZXDthSJCBZ3vgUg8z,Bagwork,Watch,1.0,1.83,1.0,1.0,1.0,51.05,9549.8,0,0,0,African Bagwork,,0.0,,unknown
2025-10-02,C8Hyu6bjPtuaTJ4Fj6V6L99rhUkkCuKByNZTyXiCpump,Streamless,Watch,1.0,1.33,1.0,1.0,1.0,25.68,9796.685,0,0,0,Streamless coin,,0.0,,unknown
2025-10-02,2JaJ353mgRVrGbrxsvHr17hseGtf1kD4ixErXGcNP1LL,PILL,Watch,1.0,2.62,1.0,-1.0,1.0,33.59,10713.71,0,0,0,Getpilled,,0.0,,unknown
2025-10-02,AkhHVVk58FmoS8h1fDWzHMZ9YrnqHcZi97mFzhjbpump,KENNY,Watch,1.0,1.34,1.0,1.0,1.0,8.96,8324.665,0,0,0,KENNY KO,,0.0,,unknown
2025-10-02,6jPg6gSrwtJyHWGTs7tUh2Zs1GzfKzHQNUGfAK1xpump,retail,Watch,1.0,25.82,1.0,-1.0,1.0,141.48,8323.695,0,0,0,retail,,0.0,,unknown
